image_path,label
augmented_set/3870_translate.jpg,190
augmented_set/517_translate.jpg,17
augmented_set/2148_cutmix.jpg,76
augmented_set/343_brighten.jpg,12
augmented_set/3894_flip.jpg,194
augmented_set/3609_original.jpg,161
augmented_set/3168_rotate.jpg,128
augmented_set/902_brighten.jpg,30
augmented_set/2624_selfaugment.jpg,98
augmented_set/3699_cutmix.jpg,169
augmented_set/1339_translate.jpg,45
augmented_set/276_cutthumbnail.jpg,10
augmented_set/822_cutmix.jpg,28
augmented_set/3679_cutthumbnail.jpg,167
augmented_set/2598_cutthumbnail.jpg,96
augmented_set/1808_original.jpg,62
augmented_set/3908_translate.jpg,197
augmented_set/3022_brighten.jpg,119
augmented_set/1475_noise.jpg,50
augmented_set/1446_cutmix.jpg,49
augmented_set/1361_cutthumbnail.jpg,46
augmented_set/2409_translate.jpg,88
augmented_set/2712_rotate.jpg,102
augmented_set/3813_selfaugment.jpg,182
augmented_set/66_cutmix.jpg,2
augmented_set/823_original.jpg,28
augmented_set/1220_flip.jpg,41
augmented_set/2301_brighten.jpg,83
augmented_set/2713_brighten.jpg,102
augmented_set/3298_flip.jpg,136
augmented_set/2055_cutthumbnail.jpg,72
augmented_set/3875_flip.jpg,191
augmented_set/3232_translate.jpg,132
augmented_set/731_rotate.jpg,25
augmented_set/3278_cutthumbnail.jpg,135
augmented_set/3080_selfaugment.jpg,122
augmented_set/2890_cutmix.jpg,111
augmented_set/2538_original.jpg,94
augmented_set/3757_brighten.jpg,176
augmented_set/2997_selfaugment.jpg,117
augmented_set/719_flip.jpg,24
augmented_set/1084_flip.jpg,36
augmented_set/3161_noise.jpg,127
augmented_set/1653_original.jpg,56
augmented_set/842_noise.jpg,28
augmented_set/2622_noise.jpg,98
augmented_set/544_cutthumbnail.jpg,19
augmented_set/3289_original.jpg,136
augmented_set/3650_rotate.jpg,164
augmented_set/398_flip.jpg,14
augmented_set/2742_noise.jpg,104
augmented_set/3772_translate.jpg,177
augmented_set/2880_cutthumbnail.jpg,111
augmented_set/3310_cutmix.jpg,137
augmented_set/1630_cutmix.jpg,56
augmented_set/1111_brighten.jpg,37
augmented_set/3043_cutthumbnail.jpg,120
augmented_set/2798_rotate.jpg,107
augmented_set/786_translate.jpg,26
augmented_set/3621_original.jpg,162
augmented_set/2678_translate.jpg,100
augmented_set/1070_original.jpg,36
augmented_set/1895_selfaugment.jpg,66
augmented_set/3388_rotate.jpg,143
augmented_set/187_rotate.jpg,7
augmented_set/3454_selfaugment.jpg,148
augmented_set/11_cutmix.jpg,1
augmented_set/903_cutmix.jpg,30
augmented_set/3070_selfaugment.jpg,122
augmented_set/3656_translate.jpg,165
augmented_set/1409_cutmix.jpg,48
augmented_set/2339_cutthumbnail.jpg,84
augmented_set/2728_original.jpg,103
augmented_set/3854_cutmix.jpg,188
augmented_set/1579_brighten.jpg,54
augmented_set/3605_selfaugment.jpg,160
augmented_set/3531_translate.jpg,154
augmented_set/1649_noise.jpg,56
augmented_set/173_translate.jpg,6
augmented_set/948_flip.jpg,32
augmented_set/2480_flip.jpg,91
augmented_set/2134_flip.jpg,76
augmented_set/3594_noise.jpg,159
augmented_set/3189_brighten.jpg,129
augmented_set/2592_noise.jpg,96
augmented_set/3707_cutmix.jpg,170
augmented_set/254_selfaugment.jpg,9
augmented_set/3669_cutthumbnail.jpg,166
augmented_set/3243_translate.jpg,133
augmented_set/3870_brighten.jpg,190
augmented_set/2677_cutthumbnail.jpg,100
augmented_set/3826_original.jpg,184
augmented_set/3809_cutmix.jpg,182
augmented_set/1865_original.jpg,65
augmented_set/569_noise.jpg,19
augmented_set/751_translate.jpg,25
augmented_set/718_translate.jpg,24
augmented_set/2943_rotate.jpg,114
augmented_set/2278_original.jpg,82
augmented_set/2375_cutthumbnail.jpg,86
augmented_set/3267_selfaugment.jpg,134
augmented_set/2831_flip.jpg,108
augmented_set/3134_noise.jpg,126
augmented_set/3168_translate.jpg,128
augmented_set/3803_translate.jpg,181
augmented_set/172_translate.jpg,6
augmented_set/3077_translate.jpg,122
augmented_set/3236_cutmix.jpg,132
augmented_set/3209_selfaugment.jpg,130
augmented_set/1948_cutmix.jpg,68
augmented_set/755_brighten.jpg,25
augmented_set/3041_selfaugment.jpg,120
augmented_set/3147_noise.jpg,126
augmented_set/3791_flip.jpg,180
augmented_set/214_cutmix.jpg,8
augmented_set/1291_original.jpg,43
augmented_set/1842_cutmix.jpg,64
augmented_set/3850_original.jpg,188
augmented_set/2663_selfaugment.jpg,100
augmented_set/1345_noise.jpg,45
augmented_set/2145_flip.jpg,76
augmented_set/1335_original.jpg,45
augmented_set/1571_translate.jpg,53
augmented_set/2410_original.jpg,88
augmented_set/2086_original.jpg,74
augmented_set/991_brighten.jpg,33
augmented_set/313_translate.jpg,11
augmented_set/2115_noise.jpg,75
augmented_set/3639_noise.jpg,163
augmented_set/2257_cutmix.jpg,81
augmented_set/881_flip.jpg,29
augmented_set/3635_translate.jpg,163
augmented_set/1796_cutmix.jpg,62
augmented_set/2491_translate.jpg,91
augmented_set/203_rotate.jpg,8
augmented_set/83_cutmix.jpg,3
augmented_set/2048_rotate.jpg,72
augmented_set/1230_brighten.jpg,41
augmented_set/530_original.jpg,18
augmented_set/2981_translate.jpg,117
augmented_set/3489_flip.jpg,150
augmented_set/3772_original.jpg,177
augmented_set/159_brighten.jpg,6
augmented_set/2642_flip.jpg,99
augmented_set/2526_noise.jpg,93
augmented_set/2991_noise.jpg,117
augmented_set/794_flip.jpg,27
augmented_set/523_selfaugment.jpg,18
augmented_set/2573_cutthumbnail.jpg,95
augmented_set/3113_flip.jpg,124
augmented_set/1560_cutmix.jpg,53
augmented_set/2375_cutmix.jpg,86
augmented_set/1743_original.jpg,60
augmented_set/2705_noise.jpg,102
augmented_set/3752_rotate.jpg,175
augmented_set/2686_translate.jpg,101
augmented_set/3127_flip.jpg,125
augmented_set/3640_cutmix.jpg,163
augmented_set/3222_rotate.jpg,131
augmented_set/2894_rotate.jpg,112
augmented_set/1069_rotate.jpg,36
augmented_set/1358_flip.jpg,46
augmented_set/2719_noise.jpg,102
augmented_set/3924_flip.jpg,200
augmented_set/1835_flip.jpg,63
augmented_set/3926_brighten.jpg,200
augmented_set/2461_flip.jpg,90
augmented_set/1460_rotate.jpg,49
augmented_set/2910_translate.jpg,113
augmented_set/458_noise.jpg,16
augmented_set/2372_selfaugment.jpg,86
augmented_set/2743_rotate.jpg,104
augmented_set/739_brighten.jpg,25
augmented_set/577_selfaugment.jpg,20
augmented_set/2726_brighten.jpg,103
augmented_set/3353_cutmix.jpg,140
augmented_set/2971_original.jpg,116
augmented_set/2637_cutmix.jpg,98
augmented_set/3473_original.jpg,149
augmented_set/1466_rotate.jpg,50
augmented_set/1901_cutthumbnail.jpg,66
augmented_set/3362_cutthumbnail.jpg,141
augmented_set/2700_original.jpg,102
augmented_set/3471_rotate.jpg,149
augmented_set/2285_cutmix.jpg,82
augmented_set/2396_rotate.jpg,87
augmented_set/3707_brighten.jpg,170
augmented_set/948_cutmix.jpg,32
augmented_set/1753_cutmix.jpg,60
augmented_set/2759_cutmix.jpg,105
augmented_set/666_original.jpg,22
augmented_set/3379_rotate.jpg,142
augmented_set/2425_flip.jpg,88
augmented_set/825_noise.jpg,28
augmented_set/1653_cutmix.jpg,56
augmented_set/3609_flip.jpg,161
augmented_set/3841_rotate.jpg,186
augmented_set/2736_original.jpg,103
augmented_set/2869_cutthumbnail.jpg,110
augmented_set/2585_translate.jpg,96
augmented_set/706_flip.jpg,24
augmented_set/3132_original.jpg,125
augmented_set/1388_translate.jpg,47
augmented_set/3445_brighten.jpg,147
augmented_set/773_flip.jpg,26
augmented_set/3922_translate.jpg,200
augmented_set/2300_rotate.jpg,83
augmented_set/667_translate.jpg,22
augmented_set/3305_brighten.jpg,137
augmented_set/3802_original.jpg,181
augmented_set/3837_noise.jpg,186
augmented_set/3731_brighten.jpg,173
augmented_set/3556_original.jpg,156
augmented_set/1013_original.jpg,34
augmented_set/581_translate.jpg,20
augmented_set/2875_noise.jpg,111
augmented_set/228_flip.jpg,9
augmented_set/1520_rotate.jpg,52
augmented_set/1463_cutmix.jpg,49
augmented_set/3464_rotate.jpg,148
