id,label
1,63
2,170
3,15
4,92
5,15
6,55
7,92
8,24
9,14
10,70
11,60
12,170
13,21
14,37
15,65
16,4
17,85
18,60
19,70
20,14
21,151
22,26
23,58
24,181
25,27
26,61
27,93
28,126
29,70
30,77
31,72
32,31
33,91
34,14
35,80
36,170
37,68
38,14
39,91
40,14
41,31
42,113
43,37
44,60
45,37
46,115
47,70
48,9
49,54
50,146
51,124
52,54
53,59
54,70
55,63
56,27
57,113
58,83
59,14
60,108
61,113
62,70
63,99
64,148
65,46
66,37
67,53
68,145
69,17
70,113
71,31
72,109
73,113
74,92
75,21
76,37
77,141
78,160
79,126
80,31
81,111
82,71
83,140
84,37
85,77
86,63
87,13
88,14
89,68
90,20
91,176
92,113
93,77
94,162
95,14
96,33
97,172
98,64
99,13
100,26
101,13
102,55
103,67
104,60
105,72
106,53
107,113
108,31
109,98
110,113
111,9
112,70
113,19
114,148
115,76
116,72
117,44
118,31
119,108
120,109
121,132
122,9
123,155
124,101
125,47
126,33
127,31
128,31
129,59
130,47
131,92
132,106
133,13
134,77
135,43
136,60
137,53
138,9
139,64
140,14
141,53
142,16
143,162
144,182
145,54
146,83
147,4
148,54
149,176
150,38
151,70
152,121
153,148
154,13
155,73
156,28
157,37
158,38
159,60
160,81
161,31
162,19
163,19
164,31
165,123
166,75
167,128
168,47
169,31
170,14
171,101
172,68
173,68
174,74
175,37
176,131
177,172
178,160
179,22
180,85
181,20
182,28
183,59
184,31
185,20
186,113
187,120
188,92
189,27
190,153
191,31
192,73
193,19
194,37
195,139
196,181
197,153
198,21
199,176
200,30
201,55
202,26
203,128
204,14
205,33
206,113
207,59
208,70
209,14
210,176
211,179
212,14
213,162
214,15
215,64
216,63
217,77
218,160
219,20
220,53
221,88
222,14
223,85
224,113
225,54
226,123
227,19
228,33
229,20
230,148
231,87
232,60
233,113
234,126
235,9
236,13
237,54
238,35
239,115
240,95
241,94
242,73
243,70
244,124
245,160
246,181
247,5
248,12
249,137
250,69
251,47
252,181
253,59
254,70
255,75
256,16
257,92
258,94
259,162
260,33
261,113
262,81
263,181
264,158
265,19
266,155
267,57
268,158
269,25
270,30
271,160
272,88
273,30
274,115
275,14
276,53
277,53
278,31
279,63
280,16
281,123
282,53
283,111
284,73
285,74
286,30
287,1
288,26
289,114
290,63
291,60
292,43
293,71
294,47
295,123
296,87
297,92
298,31
299,31
300,20
301,74
302,28
303,21
304,176
305,106
306,113
307,31
308,9
309,75
310,29
311,109
312,111
313,37
314,148
315,54
316,114
317,14
318,93
319,172
320,155
321,63
322,105
323,139
324,113
325,124
326,41
327,31
328,14
329,176
330,14
331,173
332,124
333,20
334,14
335,27
336,70
337,53
338,53
339,14
340,109
341,30
342,62
343,54
344,37
345,47
346,124
347,128
348,103
349,124
350,109
351,179
352,109
353,19
354,14
355,71
356,33
357,179
358,57
359,113
360,84
361,39
362,61
363,111
364,53
365,79
366,99
367,109
368,121
369,29
370,113
371,53
372,54
373,9
374,59
375,84
376,91
377,153
378,64
379,54
380,17
381,74
382,94
383,77
384,62
385,167
386,70
387,159
388,14
389,47
390,128
391,20
392,47
393,47
394,31
395,17
396,158
397,148
398,46
399,98
400,33
401,87
402,14
403,115
404,153
405,62
406,73
407,62
408,47
409,61
410,19
411,126
412,29
413,153
414,87
415,9
416,124
417,98
418,179
419,31
420,54
421,27
422,59
423,36
424,14
425,77
426,31
427,20
428,54
429,14
430,113
431,14
432,22
433,19
434,9
435,158
436,93
437,109
438,84
439,20
440,14
441,9
442,81
443,124
444,19
445,26
446,68
447,124
448,73
449,176
450,27
451,31
452,14
453,1
454,9
455,37
456,179
457,160
458,59
459,85
460,37
461,38
462,85
463,81
464,14
465,47
466,14
467,172
468,77
469,70
470,33
471,30
472,131
473,176
474,131
475,14
476,74
477,159
478,14
479,46
480,64
481,181
482,72
483,27
484,20
485,153
486,5
487,14
488,37
489,111
490,39
491,60
492,155
493,28
494,154
495,16
496,124
497,31
498,53
499,98
500,31
501,77
502,31
503,70
504,160
505,181
506,14
507,124
508,95
509,91
510,111
511,176
512,73
513,93
514,91
515,12
516,19
517,126
518,14
519,73
520,113
521,60
522,73
523,83
524,138
525,50
526,70
527,63
528,132
529,113
